desc,descr,Akbarian2020,Akbarian2021,Atalay2020,Becue2018,Becue2020,Becue2022,Bitton2018,Brockhoff2021,Castellani2021,Cathey2021,Chen2022abc,Chukkapali2021a,CristinaFrancodaSilva2021,Damjanovicbehrendt2018ab,Damjanovicbehrendt2018abc,Danilczyk2019,Danilczyk2021,De2022,Dietz2020,Dietz2020a,Dietz2020abc,Dietz2021a,Dietz2022,Dietz2022abc,Eckhart2018,Eckhart2018a,Eckhart2018ab,Eckhart2019,Eckhart2019.1,Eckhart2019abcde,Empl2022,Fournaris2019,Francia2021a,Franco2022a,Fraser2021,Garcia2020,Gehrmann2020,Grasselli2022a,Guo2022,Hadar2020,Han2022abc,Holmes2021,Hou2022,Jagannath2022ab,Unnamed: 46,Jakovlev2021,Kherbache2022,Kruger2021,Kumar2022abc,KumarKandasamy2021,Liu2022abcdef,Murillo2020a,Nguyen2022abcde,Patel2021,Pittaras2022,Pokhrel2020,Raybourn2018,S2022,Saad2020,Sahal2021,Shi2022,Shitole2021,Sousa2021,Suhail2021,Suhail2022ab,Tauber2018,Trneberg2021,Varghese2022,Vielberth2021a,Xinxin2019,Xu2020ab,Xu2021,no
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.",ID.AM-1: Physical devices and systems within the organization are inventoried,,,x,,,,x,x,,,x,x,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,11.0
,ID.AM-2: Software platforms and applications within the organization are inventoried,,,x,,,,x,x,,,,,x,x,x,,,,,,,,,,,,,,,,x,,,x,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,10.0
,ID.AM-3: Organizational communication and data flows are mapped,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,7.0
,ID.AM-4: External information systems are catalogued,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
,"ID.AM-5: Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value",,,,,,,x,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
,"ID.AM-6: Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",ID.BE-1: The organization’s role in the supply chain is identified and communicated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
,ID.BE-2: The organization’s place in critical infrastructure and its industry sector is identified and communicated,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
,"ID.BE-3: Priorities for organizational mission, objectives, and activities are established and communicated",,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
