Key;Relevance;Contribution;RQ1_Definition;RQ2_Benefit;RQ2_Application_Domain;RQ2_Application_Scenario;RQ3_Deployment;RQ3_Asset;RQ3_Data;RQ3_Communication_Flow;RQ3_Level_of_Integration;RQ3_Protocol;RQ3_Tools;RQ3_Operation_Mode;RQ3_Generation;RQ3_Architecture;RQ4_Future_Research;RQ4_Challenges
Akbarian2020;HIGH;In this paper, we propose implementing digital twins that have been equipped with an intrusion detection algorithm. Our novel algorithm is able to detect attacks in a timely manner and also diagnose the type of attack by classficiation of different types of attacks. ;mirror the internal behaviour of physical systems;So using this virtual environment for security tests instead of the real system prevents any interference with the live systems;Smart Manufacturing;intrusion detection;Cloud;ICS;network data;DIGITAL_PHYSICAL;digital twin;N/A;Simulink;Kalman Filter,Particle Swarm Optimization,SVM;Simulation model of the real system that has been obtained easily by system identification algorithms;YES;N/A;N/A
Akbarian2021;HIGH;Therefore,in this paper, we propose a digital twin-based security framework for ICS that consists of two parts: attack detection and attack mitigation. In this framework we deploy an intrusion detection system in digital domain that can detect attacks in a timely manner. Then, using our mitigation method, we keep the system stable with acceptable performance during the attack. Additionally, we implement our framework on a real testbed and evaluate its capability by subjecting it to a set of attacks.  / Considering the vulnerability of industrial control systems to cyber attacks especially when they are controlled over the cloud, in this paper we proposed a security framework using the concept of digital twins. In this framework, we designed a residual generator in the digital domain that can detect attacks so quickly with the help of a decision system. To mitigate the effects of attacks, we added a local controller on the factory floor close to the plant, which is switched in to recover the;With digital twins, we have virtual replicas of physical systems so that they precisely mirror the internal behavior of the physical systems;Digital twin based intrusion detection   and mitigation has some advantages. As the digital twin is   deployed in the cloud, an intrusion detection system in the   digital domain (cloud) can include methods that require much   more computing resources than if deployed in the real system.   Also, our intrusion detection is implemented close to the   controller when we control the system over the cloud and   the controller is deployed in the cloud. Hence, the intrusion   detection has access to the signals that are sent to the cloud   for the controller and can evaluate whether they are healthy or manipulated. ;Smart Manufacturing;intrusion detection,attack mitigation;Cloud, Edge;ICS (Intrusion Control System) The ball and   beam system consists of a long beam which can be tilted by an   electric motor together with a ball rolling back and forth on top   of the beam.;Time data, state vector, measurement signal, control signal, process noise, measurement noise;DIGITAL_PHYSICAL;digital twin;N/A;Kubernetes, nginx, Prometheus, Model predictive control-based controller MPC;Monitoring, Simulation, Kalman Filter;N/A;YES;N/A;N/A
Akbarian2023a;HIGH;In this paper, we present an approach that leverages the digital twins concept and virtual actuator method to detect and mitigate deception attacks on control signals within cloud control systems. By conducting experiments on a real testbed and subjecting it to a set of attacks, we validate the effectiveness of our solution. Our proposed method successfully detects attacks in a timely manner and keeps the plant stable, with a good performance during the attack. ;Digital twins is a rather new concept that precisely mirrors the internal behavior of the system. Hence, this fact can be used for creating a reference that by comparing the behavior of the real system with its digital twin’s, any abnormal changes can be noticed. ;includes simulation of all components and units of the physical part. ;Generic;intrusion detection;Cloud;Cloud control system;measurement signals ;DIGITAL_PHYSICAL;digital twin;N/A;Kubernetes, nginx;Simulation;In this paper, to create the virtual plant, we use the mathematical model of the plant (Neyman–Pearson), which can be obtained either based on the physical laws or using system identification methods. ;YES;N/A;N/A
Akerele2023;HIGH;We will examine the definition of critical infrastructure, to understand better how DT technology can be applied in a large-scale physical envi- ronment. We then turn our focus to the components within the energy sector of critical infrastructure, including various Industrial Control Sys- tems (ICS) components with a focus on sensor networks and Supervisory Control and Data Acquisition (SCADA) systems. With this understand- ing, we examine research pertinent to the key features of a DT and how that may be applied to the sensor and ICS networks. Field sensors within ICS are susceptible to semantic attacks leading to disruption of horizon- tal and lateral operations and systems. With this possibility, incident response algorithms can be implemented in a digital space of an energy grid to maintain security and operability during adverse conditions. This review intends to outline these core components for additional lab test- ing and research, analyzing the effectiveness of digital twins in securing operations of Industrial Control Systems in the energy sector.;A digital twin involves a two-way communication of real-time data between the physical and digital twin, which goes only one way. ;With this possibility, incident response algorithms can be implemented in a digital space of an energy grid to maintain security and operability during adverse conditions. ;Generic;incident response;Cloud;DHT-11 temperature and humidity sensor ;voltage, frequency and phase;DIGITAL_PHYSICAL;digital twin;N/A;Azure Digital Twins;simulation;We began to implement a physical twin with connection capabilities to the Azure DT. ;NO;N/A;N/A
Allison2022;HIGH;n this paper, we propose a methodology for training a machine learning model offline using data extracted from a digital twin, before converting the model for deployment on an edge device to perform anomaly detection. To examine the model’s suitability for anomaly detection, we execute several simulations of fault conditions. Results show that the model can successfully predict normal operations as well as identify faults and cyber-attacks. There is a negligible drop in performance on the edge device, when compared to executing the model on a personal computer, but it remains suitable for the application. ;N/A;Digital twins can address the problem of data scarcity during the training machine learning models, as they can be used to simulate and explore a range of process conditions and system states that are too difficult or dangerous to explore in real- world Cyber-Physical Systems (CPSs) ;Generic;anomaly detection;Edge;Nuclear Power Plant PLCs;pressure, valves, heaters;N/A;digital twin;N/A;MATLAB;simulation;N/A;YES;In future work we will aim to validate the methodology further with a different case study so that the full methodology can be carried out. Furthermore, deploying the ML model on a modern PLC with ML capabilities on a live system would demonstrate the viability of this area of research. ;N/A
Allison2023;HIGH;In this paper, we examine the use of digital twins to support cyber security. Specifically, our novel contribution is to provide a comprehensive analysis of the types of activities and how dif- ferent modalities of digital twin use can be applied to the phases of cyber security incident response. Building on this analysis, we propose a structured approach to enhancing cyber security play- books for cyber-physical systems incident response with digital twins. Playbooks are an essential component of incident response, ensuring that multi-disciplinary teams are effective in responding to cyber security incidents, therefore, improvements in their execu- tion can result in increased resilience. To illustrate our approach, we present its use for a playbook that is concerned with mitigating a cyber-attack to critical industrial equipment. ;The DT concept – modelling or representing real-world entities in virtual space – has been thoroughly explored for predictive maintenance, efficiency analysis, and product design, by applying several dif- ferent models or modelling techniques, and using real-time and historical data from real systems. ;Ts also have the benefit of being able to explore a range of realistic system states and scenarios that may not be possible to explore in the real-world system due to financial and temporal costs, or environmental risk. ;Generic;incident response;Cloud;PLC;pcap, network logs, PLC logs;DIGITAL_EXPERT, DIGITAL_PHYSICAL;digital twin;N/A;N/A;simulation, analysis, replication;N/A;NO;For future work, we will explore automated DT response strate- gies, and how they can influence playbooks at the design stage through parallel execution and information prioritisation. ;N/A
Almeaibed2021;MEDIUM;This article aims to identify a standard framework for vehicular digital twins that facilitate data collection, data processing, and analytics phases. To demonstrate the effectiveness of the proposed approach, a case study for vehicle follower model is analyzed when radar sensor measurements are manipulated in an attempt to cause a collision.;In the perspective of autonomous vehicles a digital twin refers to the efforts placed in the design and implementation of processes needed to enhance the safety security and privacy of driverless cars;Monitoring, reduces complexity, data analytics, connection;Mobility;security testing,generation of knowledge;Cloud;Car;Sensor data, weather data, GPS;DIGITAL_PHYSICAL;digital twin;N/A;N/A;Simulation;N/A;YES;more security and privacy of car data;N/A
Anthony2020;LOW;This paper aims to present the development of a digital twin of the commercial greenhouse production process as a part of the recently launched EUDP funded project Greenhouse Industry 4.0 in Denmark. This digital twin allows using big data and the Internet of Things to optimise the greenhouse production process and communicate with other digital twins representing essential areas in the greenhouse (climate and energy).;DTs have been proved usefully in optimising systems based on collected data and how a system responds to changes in setting This can help stakeholders realise unexploited potentials and improve operational security;Deploying the DT concept support co-optimization of the production schedule, energy  consumption, and labour cost, by considering influential factors including production deadlines, quality grading, heating, artificial lighting, energy prices (gas electricity), and weather forecasts;Smart Manufacturing;N/A;Cloud;Production, Climate, Energy;Sensor data;DIGITAL_DIGITAL, DIGITAL_PHYSICAL;digital twin;N/A;Anylogic;Simulation;generic multi-agent simulation model of the greenhouse production flow that includes all production steps from the delivery of initial seedlings until the shipment of the final plants;NO;N/A;N/A
Arya2023;HIGH;In this research, we use DT to solve the problem of identifying and stopping malignant nodes on a VANET infrastructure. In this paper, we pro- posed a framework that uses the concepts of DT for the identification of malignant nodes. Our suggested approach employs machine learning to distinguish between regular traffic and attack traffic. ;A digital twin (DT) is a replica of a physical system that operates in tandem with the actual thing, allowing for continuous monitoring and management. ;The DT pre- pares the way for the monitoring of a physical entity on a regular basis and for its automated management. The improved efficiency in keeping tabs on the physical world is largely attributable to DT. For this rea- son, academics are advocating for its use in a variety of settings. ;Mobility;intrusion detection;Edge;RSU controls ;netework packets;DIGITAL_PHYSICAL;digital twin;IP;OMNET++ , tensorflow;Simulation, SVM;N/A;NO;In the future, we aim to implement our proposed approach in a real environment. ;N/A
Assenza2020;LOW;This paper collects the contributions to the industry dis-semination session within the 14th International Conference on Critical Information Infrastructures Security (CRITIS 2019);The simulations can also be fast forwarded to foresee the effects of updates repairs preventive maintenance and even future threats;Simulation, not interrupting system;Generic;intrusion detection;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NO;N/A;N/A
