Citation Key/ Filename;GENERAL;;RQ1-DEFINITION;RQ2-DIGITAL TWIN ADVANTAGES;RQ2-APPLICATION DOMAINS;RQ2-APPLICATION SCENARIO;RQ3-PHYSICAL TWINS;;;RQ3-COMMUNICATION MANAGEMENT;;;RQ3-VIRTUAL TWIN AND APPLICATION;;;;RQ4-CHALLENGES & FUTURE RESEARCH;
;Assess the overall relevance. HIGH=the paper is only about DTs for Security, MEDIUM=the Paper describes the DT4Sec in a few paragraphs and LOW=the paper shortly desribes DT4sec;Extract the main contribution of the paper (e.g., abstract);Extract Definitions of the Digital Twin;Extract the reason why the autors use the Digital Twin;Extract in which Industry the Digital Twin is used;Extract the concret cybersecurity scenario of the Digital Twin;Extract the location of the Digital Twin (Cloud, embedded, edge..);Which object or asset is relevant for the Digital Twin? (e.g,, Machine, Network, Car) ;What kind of data is used?;Extract the type of communication. Does the Digital Twin communicate with an Expert, with a physical Object or with other Twins?;Extract the Digital Twin Level of Integration (Digital Twin, Digital Shadow, or Digital Model);Extract all protocols (MQTT) or data formats (AML, XML, JSON) that are used in the Paper;Which tools are used with the Digital Twin (e.g, Wireshark, Elasticsearch, CPS Twinning..);Which operation mode/algorithms are used (simulation, replication, analysis, model, Kalman Filter);How to create or generate  the Digital Twin?;Does the paper provide a framework/ architecture?;Extract future research (often in the conclusion);Extract the challenges/limitations
Akbarian2020;HIGH;In this paper, we propose implementing digital twins that have been equipped with an intrusion detection algorithm. Our novel algorithm is able to detect attacks in a timely manner and aslo diagnose the type of attack by classficiation of different types of attacks. ;"""mirror the internal behaviour of physical systems""";So using this virtual environment for security tests instead of the real system prevents any interference with the live systems;Industry;Intrusion Detection;Cloud;ICS Network;N/A;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;Simulink;Kalman Filter (detection), Particle Swarm Optimization (noise), SVM (classification);Simulation model of the real system that has been obtained easily by system identification algorithms;YES;N/A;N/A
Almeaibed2021;MEDIUM;This article aims to identify a standard framework for vehicular digital twins that facilitate data collection, data processing, and analytics phases. To demonstrate the effectiveness of the proposed approach, a case study for vehicle follower model is analyzed when radar sensor measurements are manipulated in an attempt to cause a collision.;"""In the perspective of autonomous vehicles, a digital twin
refers to the efforts placed in the design and implementation
of processes needed to enhance the safety, security, and
privacy of driverless cars """;Monitoring, reduces complexity, data analytics, connection;Mobility (Car);Security Testing & Generation of Knowledge;Cloud;Car Data;Sensor data, weather data, GPS;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;Simulation;N/A;YES;more security and privacy of car data;N/A
Anthony2020;LOW;This paper aims to present the development of a digital twin of the commercial greenhouse production process as a part of the recently launched EUDP funded project Greenhouse Industry 4.0 in Denmark. This digital twin allows using big data and the Internet of Things to optimise the greenhouse production process and communicate with other digital twins representing essential areas in the greenhouse (climate and energy).;"""DTs have been proved usefully in 
optimising systems based on collected data and how a 
system responds to changes in setting. This can help 
stakeholders realise unexploited potentials and improve 
operational security"" ";Deploying the DT concept support co-optimization of the production schedule, energy  consumption, and labour cost, by considering influential factors including production deadlines, quality grading, heating, artificial lighting, energy prices (gas electricity), and weather forecasts;Industry;N/A;Cloud;Production, Climate, Energy;Sensor data;DIGITAL_DIGITAL, DIGITAL_PHYSICAl;DIGITAL_TWIN;N/A;Anylogic;Simulation;generic multi-agent simulation model of the greenhouse production flow that includes all production steps from the delivery of initial seedlings until the shipment of the final plants;NO;N/A;N/A
Assenza2020;LOW;This paper collects the contributions to the industry dissemination session within the 14th International Conference on Critical Information Infrastructures Security (CRITIS 2019);"""The simulations can also be “fast-forwarded” to foresee the effects of updates, repairs, preventive maintenance, and even future threats.""";Simulation, not interrupting system;CRITIS;Intrusion Detection;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NO;N/A;N/A
Atalay2020;HIGH;In this paper, we provide an overview of smart grid cybersecurity standards, and review major threats to smart grid environments at the physical, network and application layers. In order to overcome the current lack of standards for security evaluation of smart grids, we propose a digital twins based approach for the complete lifecycle of a smart grid, which accurately models the functioning of the physical grid and avoids service disruptions caused by running security tests on the actual grid.;At a high level, a digital twin can be defined as a virtual replica of an object from the physical world;Generic penetration testing tools are incompetent for this task, as they are generally designed for smaller and more homogeneous networks.;Smart Grid;Penetration Test, Intrusion Detection;Cloud;Smart Meter, Actuator, Network traffic;"Physical information devices identifers,
model, version, storage, input and output size, and location
are kept as physical models. On the other hand, the devices
have logical pro?les in the system, such as their mapping in
the virtual machine, the RAM size, the bandwidth, image size,
processing power, etc. A dynamic knowledge database is required in the system,
which keeps the logs of monitoring data to model the behavior
of a cloudlet. This knowledge database is frequently updated
and represents the pro?le of the ecosystem the cloudlet resides
in. The database can be organized to store the energy trend
information for different times and tasks. Physical models or behavioural models";DIGITAL_PHYSICAL;DIGITAL_TWIN;TCP/IP, MQTT;N/A;Simulation, Optimization, Machine Learning, Pattern, Outlier, Data Clustering;N/A;YES;"Our ongoing work includes the modeling and
implementation of the proposed security evaluation framework
for real-world smart grid infrastructures.";"there  is  a  lack
of  standards  for  comprehensive  security  assessment  of  smart
grids,  which  is  a  critical  shortcoming"
Ayodeji2020;MEDIUM;This paper examines recent advances in intrusion detection algorithms, their limitations, challenges and the status of their application in critical infrastructures.;N/A;without interrupting the real process.;Industry;Evaluation & Security Testing, Intrustion Detection;N/A;Process;N/A;N/A;DIGITAL_TWIN;N/A;Nmap, Nessus;Simulation model;Design driven or data-driven;NO;N/A;N/A   
Bajaj2020;LOW;N/A;N/A;N/A;Industry;Intrusion Detection;N/A;Network, Machine;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NO;N/A;" Automated vulnerability assessment and detection tools. Many tools currently
exist but are not tuned for manufacturing or the operational requirements of a
production setting.
• Analytics-based detection—networks or machines—and use of digital twins.
• Tools to audit the extent of attacks.
• Automated, robust part validation technology, including automated distributed
ledger technologies such as blockchain, for trusted parts and data validation."
Bayanifar2017;LOW;This study targets these concerns by proposing a generic model for intelligent distributed dependability and security supervision and control mechanisms to enable components to autonomously meet their own security and dependability objectives through real-time distributed improvement cycles, using multi-agent systems approach to enable full exploitation of the model’s evolution capabilities.;N/A;N/A;Industry;Intrusion Detection;N/A;CPS environment, collobritations, functions, modules objectives, tasks;N/A;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;Decison making agents via two levels, Filter out redundancies and monitor only useful data;N/A;NO;N/A;N/A
Becue2018;HIGH;The CyberFactory#1 project (ITEA nr 17032) aims at solving this dilemma between productivity and security through the design, development and demonstration of a System of Systems that embraces the  technical, economical, human and the societal dimensions of future factories. It relies on innovative simulation, optimization and resilience capabilities.;A digital twin can be defined as an evolving digital profile of the historical and current behavior of a  physical object or process. The digital twin is based on massive, cumulative, real-time, real-world data measurements across an array of dimensions.;"Cyber-physical modelling and digital twins: to support 
design, testing training and validation of secure by design 
FoF technologies. ";Industry;Design, Testing Traning and Validation of FoF technologies;Cloud;Indusrial Robots, PLC;collected machine, product and environment data, CTI, Operator Feedback;DIGITAL_EXPERT;DIGITAL_SHADOW;N/A;CyberFactory#1;Ad-hoc algorithms;The digital twin is based on massive, cumulative, real-time, real-world data measurements across an array of dimensions.;YES;N/A;N/A
Becue2020;HIGH;In this paper, we address those limitations and propose innovations for cognitive modeling and co-simulation which may unleash novel uses of Digital Twins in Factories of the Future. We introduce a holistic Digital Twin approach, in which the factory is not represented by a set of separated Digital Twins but by a comprehensive modeling and simulation capacity embracing the full manufacturing process including external network dependencies.;“a DT is a formal digital representation of some asset, process or system that captures attributes and behaviors of that entity suitable for communication, storage, interpretation or processing within a certain context.”;"In this paper, we intend to examine the potential for involvement of DTs beyond the limits of their state-of-the-art functionalities. In particular, we address two limitations of existing technology which relate with: (i) the lack of applicable techniques to model human behavior and their interaction with machines; and (ii) the closed-system nature of existing DTs which limits their ability to provide holistic process optimization paths. With consideration for the above-mentioned cybersecurity challenges, we also examine the potential for DTs contribution to cyber-resilience objectives and propose a path for convergence with simulation tools currently in use in security business, called Cyber-Ranges (CRs).";Industry;Beyond its usefulness for design optimization, such DT can also support system con?guration management, upgrade validation, software update testing before deployment or assessment of resilience towards new threats. M;Cloud;Human;Keyboard, Mouse, Camera, Microphone, Eye-tracking, Emotions, Congitive Behaviour, tacit knowledge;DIGITAL_EXPERT, DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;CPS Twinning, Wrld3d, Mago3d, i-Maintenance, Eclipse Ditto, imodel.js, Twin-Control, Elasticsearch, Kibana;Model training, GANN, VR, Feature extraction & Profiling , e.g. fatigue, stress, suspicious behaviour;GANN, VR;YES;N/A;N/A
Biffl2019;LOW;This chapter summarizes and reflects on the material presented in this book regarding challenges and solutions for Security and Quality of Complex Cyber-Physical Systems (C-CPS) Engineering.;N/A;The chapter shows that the following security-related digital twin use cases, which can be applied in engineering activities, are already discussed in the literature: (1) supporting the design of more secure CPSs, (2) detecting hardware and software misconfigurations, (3) conducting security testing, and (4) monitoring security and legal compliance.;Industry;supporting the design of more secure CPSs, (2) detecting hardware and software misconfigurations, (3) conducting security testing, and (4) monitoring security and legal compliance.;N/A;N/A;N/A;N/A;DIGITAL_TWIN;N/A;N/A;N/A;N/A;NO;N/A;N/A
Biffl2019a;LOW;This chapter overviews the engineering process of C-CPSs, typically longrunning technical systems, such as industrial manufacturing systems and continuous processing systems.;N/A;The chapter aims to demonstrate that digital twins can holistically improve the security of CPSs by applying security measures in various phases of their lifecycle.;Industry;the simulation aspects of digital twins can be used to conduct security tests in the design, testing, and commissioning phases, while the replication of states to digital twins, so that they follow the states of their physical counterparts, may reveal intrusions. The chapter completes with an extensive analysis of challenges and open questions that are worth studying in future work.;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Simulation, Replication;N/A;NO;N/A;N/A
