Key,G_Relevance,G_Contribution,RQ1_Definition,RQ2_Benefit,RQ2_Application_Domain,RQ2_Application_Scenario,RQ3_Deployment,RQ3_Asset,RQ3_Data,RQ3_Communication_Flow,RQ3_Level_of_Integration,RQ3_Protocol,RQ3_Tools,RQ3_Operation_Mode,RQ3_Generation,RQ3_Architecture,RQ4_Future_Research,RQ4_Challenges
Akbarian2020,HIGH,In this paper we propose implementing digital twins that have been equipped with an intrusion detection algorithm. Our novel algorithm is able to detect attacks in a timely manner and aslo diagnose the type of attack by classficiation of different types of attacks. ,mirror the internal behaviour of physical systems,So using this virtual environment for security tests instead of the real system prevents any interference with the live systems,Smart Manufacturing,intrusion detection,cloud,ICS,network data,DIGITAL_PHYSICAL,digital twin,N/A,Simulink,Kalman Filter Particle Swarm Optimization SVM,Simulation model of the real system that has been obtained easily by system identification algorithms,YES,N/A,N/A
Almeaibed2021,MEDIUM,This article aims to identify a standard framework for vehicular digital twins that facilitate data collection data processing and analytics phases. To demonstrate the effectiveness of the proposed approach a case study for vehicle follower model is analyzed when radar sensor measurements are manipulated in an attempt to cause a collision.,In the perspective of autonomous vehicles a digital twin refers to the efforts placed in the design and implementation of processes needed to enhance the safety security and privacy of driverless cars,Monitoring reduces complexity data analytics connection,Mobility,security testing generation of knowledge,cloud,Car,Sensor data weather data GPS,DIGITAL_PHYSICAL,digital twin,N/A,N/A,Simulation,N/A,YES,more security and privacy of car data,N/A
Anthony2020,LOW,This paper aims to present the development of a digital twin of the commercial greenhouse production process as a part of the recently launched EUDP funded project Greenhouse Industry 4.0 in Denmark. This digital twin allows using big data and the Internet of Things to optimise the greenhouse production process and communicate with other digital twins representing essential areas in the greenhouse (climate and energy).,DTs have been proved usefully in optimising systems based on collected data and how a system responds to changes in setting This can help stakeholders realise unexploited potentials and improve operational security,Deploying the DT concept support co-optimization of the production schedule energy  consumption and labour cost by considering influential factors including production deadlines quality grading heating artificial lighting energy prices (gas electricity) and weather forecasts,Smart Manufacturing,N/A,cloud,Production Climate Energy,Sensor data,DIGITAL_DIGITAL DIGITAL_PHYSICAl,digital twin,N/A,Anylogic,Simulation,generic multi-agent simulation model of the greenhouse production flow that includes all production steps from the delivery of initial seedlings until the shipment of the final plants,NO,N/A,N/A
Assenza2020,LOW,This paper collects the contributions to the industry dis-semination session within the 14th International Conference on Critical Information Infrastructures Security (CRITIS 2019),The simulations can also be fast forwarded to foresee the effects of updates repairs preventive maintenance and even future threats,Simulation not interrupting system,Generic,intrusion detection,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,N/A,N/A
Atalay2020,HIGH,In this paper we provide an overview of smart grid cybersecurity standards and review major threats to smart grid environments at the physical network and application layers. In order to overcome the current lack of standards for security evaluation of smart grids we propose a digital twins based approach for the complete lifecycle of a smart grid which accurately models the functioning of the physical grid and avoids service disruptions caused by running security tests on the actual grid.,At a high level a digital twin can be defined as a virtual replica of an object from the physical world ,Generic penetration testing tools are incompetent for this task as they are generally designed for smaller and more homogeneous networks.,Smart Grid,penetration testing intrusion detection,cloud,Smart Meter Actuator,Physical information devices identi?ersmodel version storage input and output size and locationare kept as physical models. On the other hand the deviceshave logical pro?les in the system such as their mapping inthe virtual machine the RAM size the bandwidth image sizeprocessing power etc. A dynamic knowledge database is required in the systemwhich keeps the logs of monitoring data to model the behaviorof a cloudlet. This knowledge database is frequently updatedand represents the pro?le of the ecosystem the cloudlet residesin. The database can be organized to store the energy trendinformation for different times and tasks. Physical models or behavioural models  Network traffic,DIGITAL_PHYSICAL,digital twin,TCP/IP MQTT,N/A,Simulation Optimization Machine Learning Pattern Outlier Data Clustering,N/A,YES,Our ongoing work includes the modeling andimplementation of the proposed security evaluation framework for real-world smart grid infrastructures.,there  is  a  lack of  standards  for  comprehensive  security  assessment  of  smart grids  which  is  a  critical  shortcoming 
Ayodeji2020,MEDIUM,This paper examines recent advances in intrusion detection algorithms their limitations challenges and the status of their application in critical infrastructures.,N/A,without interrupting the real process.,Smart Manufacturing,security evaluation security testing intrustion detection,N/A,Process,N/A,N/A,digital twin,N/A,Nmap Nessus,Simulation model,Design driven or data-driven,NO,N/A,N/A   
Bajaj2020,LOW,N/A,N/A,N/A,Smart Manufacturing,intrusion detection,N/A,Network Machine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,N/A,Automated vulnerability assessment and detection tools. Many tools currently exist but are not tuned for manufacturing or the operational requirements of a production setting. • Analytics-based detection—networks or machines—and use of digital twins. • Tools to audit the extent of attacks. • Automated robust part validation technology including automated distributed ledger technologies such as blockchain for trusted parts and data validation. 
Bayanifar2017,LOW,This study targets these concerns by proposing a generic model for intelligent distributed dependability and security supervision and control mechanisms to enable components to autonomously meet their own security and dependability objectives through real-time distributed improvement cycles using multi-agent systems approach to enable full exploitation of the model�s evolution capabilities.,N/A,N/A,Smart Manufacturing,intrusion detection,N/A,CPS environment collobritations functions modules objectives tasks,N/A,DIGITAL_PHYSICAL,digital twin,N/A,N/A,Decison making agents via two levels Filter out redundancies and monitor only useful data,N/A,NO,N/A,N/A
Becue2018,HIGH,The CyberFactory#1 project (ITEA nr 17032) aims at solving this dilemma between productivity and security through the design development and demonstration of a System of Systems that embraces the  technical economical human and the societal dimensions of future factories. It relies on innovative simulation optimization and resilience capabilities.,A digital twin can be defined as an evolving digital profile of the historical and current behavior of a  physical object or process The digital twin is based on massive cumulative real time real world data measurements across an array of dimensions,Cyber-physical modelling and digital twins: to support design testing training and validation of secure by design FoF technologies. ,Smart Manufacturing,design testing training validation of FoF technologies,cloud,Indusrial Robots PLC,collected machine product and environment data CTI Operator Feedback,DIGITAL_EXPERT,digital shadow,N/A,CyberFactory#1,Ad-hoc algorithms,The digital twin is based on massive cumulative real-time real-world data measurements across an array of dimensions.,YES,N/A,N/A
Becue2020,HIGH,In this paper we address those limitations and propose innovations for cognitive modeling and co-simulation which may unleash novel uses of Digital Twins in Factories of the Future. We introduce a holistic Digital Twin approach in which the factory is not represented by a set of separated Digital Twins but by a comprehensive modeling and simulation capacity embracing the full manufacturing process including external network dependencies.,a DT is a formal digital representation of some asset process or system that captures attributes and behaviors of that entity suitable for communication storage interpretation or processing within a certain context,In this paper we intend to examine the potential for involvement of DTs beyond the limits of their state-of-the-art functionalities. In particular we address two limitations of existing technology which relate with: (i) the lack of applicable techniques to model human behavior and their interaction with machines,,,,,,,,,,,,,N/A,N/A
