"citation_key,""inclusion_1"",""inclusion_2"",""ec_quality"",""ec_research_availability"",""ec_dt_for_non_security_case"",""ec_dt_missing"",""ec_not_IOT_CPS_context"",""ec_dt_for_security"",""ec_complete_book"",""comment"""
"10.1145/3411763,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"10.1145/3411764,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"10.1145/3517428,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"10.1145/3524458,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"10.1145/3527049,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"10.1145/3538969,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"10.1145/3539637,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"10.1145/3543106,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"10.1145/3545839,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"10.1145/3546632,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"10.1145/3547578,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"10.1145/3548608,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"10.1145/3549555,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"10.1145/3551690,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"10.1145/3552327,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"10.1145/3556384,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"10.1145/3564533,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"10.5555/3400397.3400593,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"10.5555/3451906.3451935,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2019,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2021,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022243,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022435,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022561,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022591,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022661,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022a,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022ab,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abc,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcd,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdef,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefg,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefgh,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghi,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghij,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijk,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijkl,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklm,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmn,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmno,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnop,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnopq,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnopqrs,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnopqrst,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnopqrstu,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnopqrstuv,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnopqrstuvw,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnopqrstuvwx,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnopqrstuvwxy,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnopqrstuvwxyz,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnopqrstuvwxyzA,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnopqrstuvwxyzAB,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnopqrstuvwxyzABC,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnopqrstuvwxyzABCD,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnopqrstuvwxyzABCDE,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnopqrstuvwxyzABCDEF,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnopqrstuvwxyzABCDEFG,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnopqrstuvwxyzABCDEFGH,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnopqrstuvwxyzABCDEFGHI,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnopqrstuvwxyzABCDEFGHIJ,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnopqrstuvwxyzABCDEFGHIJK,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnopqrstuvwxyzABCDEFGHIJKL,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLM,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMN,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNO,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022b,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022c,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022d,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022e,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022f,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022g,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022h,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022i,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022ia,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022iii,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022iiia,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022j,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022k,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022l,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022m,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2022xvii,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2023,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2023a,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
"2023aa,""no"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""NA"",""-"""
