Citation_Key,G_Relevance,G_Contribution,RQ1_Definition,   
Akbarian2020,HIGH,"In this paper, we propose implementing digital twins that have been equipped with an intrusion detection algorithm. Our novel algorithm is able to detect attacks in a timely manner and aslo diagnose the type of attack by classficiation of different types of attacks. ","""mirror the internal behaviour of physical systems""",   
Almeaibed2021,MEDIUM,"This article aims to identify a standard framework for vehicular digital twins that facilitate data collection, data processing, and analytics phases. To demonstrate the effectiveness of the proposed approach, a case study for vehicle follower model is analyzed when radar sensor measurements are manipulated in an attempt to cause a collision.","""In the perspective of autonomous vehicles, a digital twin
refers to the efforts placed in the design and implementation
of processes needed to enhance the safety, security, and
privacy of driverless cars """,   
Anthony2020,LOW,This paper aims to present the development of a digital twin of the commercial greenhouse production process as a part of the recently launched EUDP funded project Greenhouse Industry 4.0 in Denmark. This digital twin allows using big data and the Internet of Things to optimise the greenhouse production process and communicate with other digital twins representing essential areas in the greenhouse (climate and energy).,"""DTs have been proved usefully in 
optimising systems based on collected data and how a 
system responds to changes in setting. This can help 
stakeholders realise unexploited potentials and improve 
operational security"" ",   
Assenza2020,LOW,This paper collects the contributions to the industry dis-semination session within the 14th International Conference on Critical Information Infrastructures Security (CRITIS 2019),"""The simulations can also be “fast-forwarded” to foresee the e?ects of updates, repairs, preventive maintenance, and even future threats.""",   
Atalay2020,HIGH,"In this paper, we provide an overview of smart grid cybersecurity standards, and review major threats to smart grid environments at the physical, network and application layers. In order to overcome the current lack of standards for security evaluation of smart grids, we propose a digital twins based approach for the complete lifecycle of a smart grid, which accurately models the functioning of the physical grid and avoids service disruptions caused by running security tests on the actual grid.","At a high level, a digital twin can be de?ned as a virtual replica of an object from the physical world [7]",   
Ayodeji2020,MEDIUM,"This paper examines recent advances in intrusion detection algorithms, their limitations, challenges and the status of their application in critical infrastructures.",N/A,   
Bajaj2020,LOW,N/A,N/A,   
Bayanifar2017,LOW,"This study targets these concerns by proposing a generic model for intelligent distributed dependability and security supervision and control mechanisms to enable components to autonomously meet their own security and dependability objectives through real-time distributed improvement cycles, using multi-agent systems approach to enable full exploitation of the model’s evolution capabilities.",N/A,   
Becue2018,HIGH,"The CyberFactory#1 project (ITEA nr 17032) aims at solving this dilemma between productivity and security through the design, development and demonstration of a System of Systems that embraces the  technical, economical, human and the societal dimensions of future factories. It relies on innovative simulation, optimization and resilience capabilities.","A digital twin can be defined as an evolving digital profile of the historical and current behavior of a  physical object or process. The digital twin is based on massive, cumulative, real-time, real-world data measurements across an array of dimensions.",   
Becue2020,HIGH,"In this paper, we address those limitations and propose innovations for cognitive modeling and co-simulation which may unleash novel uses of Digital Twins in Factories of the Future. We introduce a holistic Digital Twin approach, in which the factory is not represented by a set of separated Digital Twins but by a comprehensive modeling and simulation capacity embracing the full manufacturing process including external network dependencies.","“a DT is a formal digital representation of some asset, process or system that captures attributes and behaviors of that entity suitable for communication, storage, interpretation or processing within a certain context.”",   
