Citation_Key,RQ2_Application_Reason,RQ2_Application_Domain,RQ2_Application_Scenario,   
Akbarian2020,So using this virtual environment for security tests instead of the real system prevents any interference with the live systems,Industry,Intrusion Detection,   
Almeaibed2021,"Monitoring, reduces complexity, data analytics, connection",Mobility (Car),Security Testing & Generation of Knowledge,   
Anthony2020,"Deploying the DT concept support co-optimization of the production schedule, energy  consumption, and labour cost, by considering influential factors including production deadlines, quality grading, heating, artificial lighting, energy prices (gas electricity), and weather forecasts",Industry,N/A,   
Assenza2020,"Simulation, not interrupting system",CRITIS,Intrusion Detection,   
Atalay2020,"Generic penetration testing tools are incompetent for this task, as they are generally designed for smaller and more homogeneous networks.",Smart Grid,"Penetration Test, Intrusion Detection",   
Ayodeji2020,without interrupting the real process.,Industry,"Evaluation & Security Testing, Intrustion Detection",   
Bajaj2020,N/A,Industry,Intrusion Detection,   
Bayanifar2017,N/A,Industry,Intrusion Detection,   
Becue2018,"Cyber-physical modelling and digital twins: to support 
design, testing training and validation of secure by design 
FoF technologies. ",Industry,"Design, Testing Traning and Validation of FoF technologies",   
Becue2020,"In this paper, we intend to examine the potential for involvement of DTs beyond the limits of their state-of-the-art functionalities. In particular, we address two limitations of existing technology which relate with: (i) the lack of applicable techniques to model human behavior and their interaction with machines; and (ii) the closed-system nature of existing DTs which limits their ability to provide holistic process optimization paths. With consideration for the above-mentioned cybersecurity challenges, we also examine the potential for DTs contribution to cyber-resilience objectives and propose a path for convergence with simulation tools currently in use in security business, called Cyber-Ranges (CRs).",Industry,"Beyond its usefulness for design optimization, such DT can also support system con?guration management, upgrade validation, software update testing before deployment or assessment of resilience towards new threats. M",   
Biffl2019,"The chapter shows that the following security-related digital twin use cases, which can be applied in engineering activities, are already discussed in the literature: (1) supporting the design of more secure CPSs, (2) detecting hardware and software misconfigurations, (3) conducting security testing, and (4) monitoring security and legal compliance.",Industry,"supporting the design of more secure CPSs, (2) detecting hardware and software misconfigurations, (3) conducting security testing, and (4) monitoring security and legal compliance.",   
Biffl2019a,The chapter aims to demonstrate that digital twins can holistically improve the security of CPSs by applying security measures in various phases of their lifecycle.,Industry,"the simulation aspects of digital twins can be used to conduct security tests in the design, testing, and commissioning phases, while the replication of states to digital twins, so that they follow the states of their physical counterparts, may reveal intrusions. The chapter completes with an extensive analysis of challenges and open questions that are worth studying in future work.",   
Bitton2018,"In contrast to testbeds, which are generic, a digital twin is a replica of a specific ICS; i.e., a model that consists of all of the components from the original industrial environment",Industry,"Security Evaluatio, Pen Test",   
Bore2020,Providing behaviour profiles for individuals in the form of a digital twin which can be subjected to much more thorough analysis than the individual otherwise would does have significant potential for improving the prediction of insider threat,Enterprise/ Organization,Insider Threat Detection,   
Calo2018,The devices can use such a model to determine whether or not they should allow access to any resource or service that is being requested of them.,Enterprise/ Organization,Device Model Control Approach,   
Campolo2020,Digital Twin as Replication and provide sensitive views to stakeholders dependent on their right of PT vehicles,Mobility of commuters and public transport vehicles,Access Control Views,   
Castellani2021,or an almost perfect digital copy whose output can be directly compared to the real-world machinery. The former can be at least used to create a large dataset containing data samples of normal operation conditions which can be utilized in machine learning approaches.,Industry 4.0,Anomaly Detection,   
Catarci2019,"First, the virtual environment provides a simulation mode, in which the DTs run independently from the physical environment. Second, the replication mode records events such as network traffic from the physical environment and replicates them in the virtual setup.",Smart Manufacturing,"Monitoring, Security Analysis, Intrusion Detecttion",   
Chhetri2018,"Digital twin allows the analysis of data and monitoring of systems to forecast problems even before they occur [148], thus preventing downtime and providing better efficiency.",Indutry 4.0,"various vulnerabilities may be predicted along the product lifecycle and the supply chain. It helps to understand how a projected change
to a manufacturing process might impact the whole supply
chain of the product including the cost and time to delivery",   
Choi2020,digital twin’ systems mimicking real-world scenarios.,Industry 4.0,Security Testing and Evaluation,   
Chukkapalli2021,"They monitor the data generated from the physical sensors and notify the fish farm owners about a breakdown of a machinery in advance to reduce downtime by training machine learning models. Digital twins can
also be utilized for maintaining the data security and privacy which
is an added advantage. For example, unauthorized transmission
of data can be avoided with the help of digital twin whenever
a temporary worker tries to access previous data of the sensors
present in the fish farm.",Fish Farm,"Detection of unauthorized transmission (Access Control Context)
of data",   
Cioara2021,"By twining data with accurate DT models of energy assets, valuable insights or information can be extracted and integrated within many smart grids’ applications like operation maintenance, energy prediction, security and protection, errors detection, etc.",Smart Energy/ Grid,"Fault Model (DTs for diagnosis of errors/faults and security issues), Predict potential failures, detect security issues, implement migiation actions, naalyzing potential threats",   
Cioroaica2019,"afe real-time evaluation during the runtime of smart
agents.",Smart Ecosystems,"Detection of simulated environments, identification of malicious agents",   
CristinaFrancodaSilva2021,"boxes. The CDT approach
presented in this article can automatically extract
important information from the firmware binaries
such as interfaces and data flow that is needed for
other activities such as security analysis. This extracted
information enables us to discover security
vulnerabilities in the firmware, and furthermore,
to check if security requirements of the firmware
are fulfilled.",Automotive,Security Analysis and Security Evaluatiopn and verfication of Security Requirements,   
Damjanovicbehrendt2018ab,"it allos visibility in the manufacturing operations, it can be used to simulate various conditions, it can be used t o connect with the backend business apllications to support suply chain etc.",Automotive,Privacy Assessment,   
Damjanovicbehrendt2018abc,"One of the desired features for the digital
twin is the ability to accurately simulate,
analyse and predict real-world
events and situations.",Automotive,"Cyber Threat Detection, Cyber Threat Analysis, Data Access & Control, Incident Response Service, Security Analytics ",   
Damjanovicbehrendt2019a,"One of the desired features for the digital
twin is the ability to accurately simulate,
analyse and predict real-world
events and situations.",Automotive,"Cyber Threat Detection, Cyber Threat Analysis, Data Access & Control, Incident Response Service, Security Analytics ",   
Danilczyk2019,"The potential power of a
fully deployed digital twin provides exciting possibilities for
improving the cyber physical security of the future grid as
well as an avenue to visualize the response of the power grid
when placed under duress",Microgrid,"defend the grid against cyber-attack and
exploit",   
Dietz2020,Allowing Simulations,Industry 4.0,"Pentesting, System security testing, attack simulation. Moreover,
digital twins can assist enterprise security by simulating attacks
and analyzing the effect on the virtual counterpart.",   
Dietz2020a,"DTs can play an
important role in mitigating and avoiding these risks by
providing comprehensive information about the asset’s
status, history, and maintenance needs. Some DTs even
provide direct interaction with the asset.",Industry 4.0,"Alerts (Detection), Digital tracing of real world stimuli, security by design, future prediction, repdoucibility, repeatability, time independence, Broad user base throough the prominance of the teqchniques, DT for Forensics, ICS Lifecycle Security, Security by Design",   
Dietz2020abc,"Here, a DT can play an
important role to mitigate or even avoid these risks by
comprehensively informing about the real-world asset’s status, history and its maintenance needs. Moreover, some
DTs even provide a direct interaction with the asset.",Industry 4.0,Security Testing,   
Eckhart2018,"On top of this virtual representation, multiple security
features can be established. For example, security and safety rules
stated as part of the specification can be automatically monitored
on the basis of digital twins",Industry,"Intrusion Detection, System Testing & Simulation, Detecting Misconfigurations, Penetration Testing",   
Eckhart2018a,"digital twins can run in parallel to a CPS, allowing to
perform a security and safety analysis during operation without
the risk of disrupting live systems.",Industry,"security and safety analysis, Intrusion Detection based on State",   
Eckhart2018ab,"As a result, a holistic security solution
that not only protects the CPS
during operation, but rather throughout
its entire lifecycle is highly desirable.",Industry,"More specifically, such a security solution
should aim to (i) support the identification
of security weaknesses in the
specification, (ii) allow the execution of
security and system tests without disrupting
physical processes, (iii) monitor
the physical process under control, and
(iv) detect intrusions and other abnormal
conditions of the CPS.",   
Eckhart2019,"Digital twins refer to virtual replicas of physical objects that, inter alia,
enable to monitor, visualize, and predict states of cyber-physical systems (CPSs).",Industry,"Secure Defisn, Intrusion Detection, Secure Commissioning, Detecting Harware & Software Misconfigurations, Security Testing, Privacy, System Testing & Training, Security & Legal Compliance",   
Eckhart2019ab,"Addressing
this issue requires innovative methods concerning the development of simulation platforms that
lend themselves well for assessing security risks",Industry,"Digital Twins to Support Quantitative Security Risk Assessments, Inutrsion Detection",   
Eckhart2019abcde,"Although the digital-twin concept gives rise to a
multitude of security-enhancing use cases [9], we put special
emphasis on the development of intrusion detection systems
(IDSs)",CPS,Cyber Situational Awareness Framework based on DTs,   
Empl2021,"The sensor cloud collects and aggregates this data to determine the potential security state with security analytics (e.g., via a digital twin).",Industry 4.0,determine the potential security state with security analytics,   
Erol2020,"Digital Twin technology will also help in early and accurate diagnosis
of cancer diseases.",Healthcare,"In the future, in
addition to the health field mentioned in this study, detailed
studies can be carried out on Digital Twin technology from
different perspectives such as aerospace, military, education,
security systems.",   
Fournaris2019,"This analysis feeds into the relatively modern
concept of a “Digital Twin”: an online, cyber model of the physical processes taking
place in a CPS, which can be used to simulate outcomes at decision points, or monitor
the operation of a CPS in real time. In this sense, a Digital Twin can incorporatemany
of the online threat detection and preventionmeasures discussed above.",CPS,"monitoring, controlling, testing security; cyber-threat prevention and detection, anomaly detection",   
Furness2019,"Having access to a digital
“twin” of a CPS would provide the ability to investigate responses of the system to
threats while not taking these systems offline.",CPS,"investigate responses of the system to threats; monitoring; application of security controls, evaluation of vulnerabilities, and understanding of response of a CPS; performing risk assessment",   
Gajek2020,"To manage and control a
USB device, a means of binding the hardware with its digital
twin is required. Once this is achieve, a means of authentication
to confirm that the binding is correct and valid is also
required.","Industry 4.0, Enterprise",prevention of  Stuxnet and related attacks by implementing unclonable Digital Twins and ensure that the blockchain mirrors the Digital Twin.,   
GamezDiaz2020,"The use of the Digital Twin technology can help bring a highly customizable solution to individuals.
Digital Twin (DT) technology enables the collection and analysis of data about the real twin and provides
them with personalized feedback to improve their quality of life and wellbeing [8,9].",smart coaching/Sports,data security,   
Garcia2020,"Typical applications benefiting from DDR – in ways
that improve reliability, availability, maintainability, safety, and
security (RAMS) and reduce costs and operational risks – include
anomaly detection, diagnostics, and prognostics, root cause analysis,
control, optimization, planning, visualization, commissioning,
and training. DT technology may also assist in remote operation,
maintenance, and repair of nuclear systems as well as provide
feedback and insights for improving designs.",Smart nuclear systems/CPS/ energy industry,"Threat detection, intrusion detection",   
Gehrmann2020,"We tackle this general security issue in this
paper by looking into the digital twin model as an enabler for
enhanced security when opening up IACS low level control
functions and data exchange according to the Industry 4.0
vision. Digital twins and state replication as security enablers
were recently proposed by different researchers",Industry 4.0 ,"penetrations testing, security analysis, monitoring",   
Glawe2020,"the digital-twin which simulates the architecture, the anomaly detection to detect failures of the architecture and the reconfiguration/optimization to select new strategies.",Industry,"simulates the architecture, the anomaly detection to detect failures of the architecture and the reconfiguration/optimization to select new strategies, testing strategies",   
Grabis2021,"patterns. The method also considers using a data-driven digital twin for continuous exploration and prediction of newly arising threats. The digital twin uses live data to evaluate the current situation and to appraise suitable response mechanisms. In order to explore network behavior depending on contextual changes and adjustments used, its virtual representation or digital twin is used [12]. It uses live data to diagnose potential problems and to plan capability delivery.",Industry (digital service),"diagnose security incidents and suggest a suitable resilience response, continuous exploration and prediction of newly arising threats, security analysis,",   
Guo2020,"The three biggest advantages to use DT to construct a
platform for testing and verifying the defense architecture consist in: design phase of ICS, operation, ",Energy industry (Nuclear Power Plants)/ICS,"testing defense architecture (Cyber security test platform), cybersecurity analysis",   
Hadar2020,"It is
used to describe a digital replica of a system in a manner that
allows performing digital simulations. We apply this principle to
the realm of cyber security. ""CYBER DIGITAL TWIN""",Enterprise,"detecting missing security controls; captures and models the aspect of the enterprise’s cybersecurity posture from a hackers’ perspective and
models hackers’ movements",   
Hammoudeh2020,"A digital twin provides a platform to solve major
IoT related CNI cybersecurity challenges in tomorrow’s secure infrastructure,
energy distribution, smart cities, smart manufacturing
(Industrial IoT and Industry4.0) and autonomous transit systems.","secure infrastructure, energy distribution, smart cities, smart manufacturing and autonomous transit systems",???,   
Hau2020,"This
allows us to build a model that is a ""digital twin"" of the physical CPS
we are modeling with respect to the pre-defined threat capabilities
and goal.",CPS,"detect anomalies/attacks, simulation, analyse anomalies/attacks",   
