Citation_Key,RQ3_Location,RQ3_Assets,RQ3_Data,RQ3_Communication,RQ3_LoI,RQ3_Protocols,RQ3_Tools,RQ3_Operation_Modes,RQ3_Generation,RQ3_Architecture,   
Akbarian2020,Cloud,ICS Network,N/A,DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,Simulink,"Kalman Filter (detection), Particle Swarm Optimization (noise), SVM (classification)",Simulation model of the real system that has been obtained easily by system identification algorithms,YES,   
Almeaibed2021,Cloud,Car Data,"Sensor data, weather data, GPS",DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,N/A,Simulation,N/A,YES,   
Anthony2020,Cloud,"Production, Climate, Energy",Sensor data,"DIGITAL_DIGITAL, DIGITAL_PHYSICAl",DIGITAL_TWIN,N/A,Anylogic,Simulation,generic multi-agent simulation model of the greenhouse production flow that includes all production steps from the delivery of initial seedlings until the shipment of the final plants,NO,   
Assenza2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,   
Atalay2020,Cloud,"Smart Meter, Actuator, Network traffic","Physical information devices identi?ers,
model, version, storage, input and output size, and location
are kept as physical models. On the other hand, the devices
have logical pro?les in the system, such as their mapping in
the virtual machine, the RAM size, the bandwidth, image size,
processing power, etc. A dynamic knowledge database is required in the system,
which keeps the logs of monitoring data to model the behavior
of a cloudlet. This knowledge database is frequently updated
and represents the pro?le of the ecosystem the cloudlet resides
in. The database can be organized to store the energy trend
information for different times and tasks. Physical models or behavioural models",DIGITAL_PHYSICAL,DIGITAL_TWIN,"TCP/IP, MQTT",N/A,"Simulation, Optimization, Machine Learning, Pattern, Outlier, Data Clustering",N/A,YES,   
Ayodeji2020,N/A,Process,N/A,N/A,DIGITAL_TWIN,N/A,"Nmap, Nessus",Simulation model,Design driven or data-driven,NO,   
Bajaj2020,N/A,"Network, Machine",N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,   
Bayanifar2017,N/A,"CPS environment, collobritations, functions, modules objectives, tasks",N/A,DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,N/A,"Decison making agents via two levels, Filter out redundancies and monitor only useful data",N/A,NO,   
Becue2018,Cloud,"Indusrial Robots, PLC","collected machine, product and environment data, CTI, Operator Feedback",DIGITAL_EXPERT,DIGITAL_SHADOW,N/A,CyberFactory#1,Ad-hoc algorithms,"The digital twin is based on massive, cumulative, real-time, real-world data measurements across an array of dimensions.",YES,   
Becue2020,Cloud,Human,"Keyboard, Mouse, Camera, Microphone, Eye-tracking, Emotions, Congitive Behaviour, tacit knowledge","DIGITAL_EXPERT, DIGITAL_PHYSICAL",DIGITAL_TWIN,N/A,"CPS Twinning, Wrld3d, Mago3d, i-Maintenance, Eclipse Ditto, imodel.js, Twin-Control, Elasticsearch, Kibana ","Model training, GANN, VR, Feature extraction & Profiling , e.g. fatigue, stress, suspicious behaviour","GANN, VR",YES,   
Biffl2019,N/A,N/A,N/A,N/A,DIGITAL_TWIN,N/A,N/A,N/A,N/A,NO,   
Biffl2019a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Simulation, Replication",N/A,NO,   
Bitton2018,N/A,"SCADA, ICS, network",network traffic,DIGITAL_EXPERT,DIGITAL_TWIN,"Modbus, DNP3","GRASSMARLIN, OpenVAS, Zeus Scanner, Nmap",Simulation,Formalization on how to derivce cost-efficient twins for ICS,NO,   
Bore2020,N/A,Human,Behavoural profiles for individuals (Social Networks etc.),N/A,N/A,N/A,N/A,Prediction,N/A,NO,   
Calo2018,Embedded,IoT Device,States depending on sensor data (unsafe/safe),DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,N/A,Simulation,device state model,NO,   
Campolo2020,Mobile Edge,MaaS vehicles,"e.g., smartphones of commuters, On Board Systems (OBSs) of PT vehicles",DIGITAL_PHYSICAL,DIGITAL_SHADOW,"MQTT, COAP, LwM2m (Leshan), TCP, GPS","User Equipmment App, Mosquitto, Wireshark, DT applications hosted in MEC facilities can further access additional (context) information and provide accurate positioning via data fusion from multiple available sources, also improved by the ME LS.",Replication ,Data from ME (replication),YES,   
Castellani2021,N/A,"Heating, Ventilation and Air Conditioning (HVAC), Combined Heat and Power (CHP)","Ambient Temperature (Ta), Produced Thermal Power (PTh), Produced Thermal Energy (ETh), Produced Electrical Power (PEl), Produced Electrical Energy (EEl), Water flux (Flux), Water flow temperature (TFlow), Water return temperature (TReturn), Flow/return temperature difference (TDiff)",DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,"PyOD, Keras, Tensorflow, SimulatinX, Modelica","a Partial Grid Search,Cluster Center (KNN), Siamese Autoencoder, Simuation",Green City Library ,NO,   
Catarci2019,Cloud,"Factories, Machines everythin","A device shadow is a JSON file that contains the state information, meta-data, timestamp, unique client token, and version of a device connected to the device shadow service.",DIGITAL_PHYSICAL,DIGITAL_TWIN,"MQTT, COAP, LwM2m (Leshan), TCP, GPS, AutomationML, Manufacturing Service Description Language, system models, functional, JSON, REST API
models, 3D geometric models, multiphysics models,
manufacturing models, and usage models.","Eclipse Ditto, GE Predix, Bosch IoT Things, Microsoft Azure IoT, IBM Watson IoT, AWS IoT, Experimentable DTs in virtuel testbeds,",Simulation,N/A,N/A,   
Chhetri2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,   
Choi2020,N/A,ICS ,"The test digital twin system comprises of an HMI, two PLCs, two network switches, and a firewall – representativecomponents in most ICS scenarios.",DIGITAL_EXPERT,DIGITAL_SHADOW,N/A,"InTouch software from Schneider Electric, An Allen-Bradley CompactLogix 5370-L3 simulates a conveyor belt and a Schneider Electric Modicon M580 is used as a wind farm digital twin providing electricity to the conveyor belt, To simulate the firewall, pfSense, an open-source firewall, was ported onto a commercial system board., ettercap, wireshark, kdiff3, Kali Linux",Simulation,N/A,N/A,   
Chukkapalli2021,Cloud,Fish Farm,"sensors present in the fish
farm via Internet.",DIGITAL_PHYSICAL,DIGITAL_SHADOW,N/A,N/A,Replication ,N/A,YES,   
Cioara2021,N/A,Smart Grid with GER,Model of the whole Grid,DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,N/A,"Having a virtual model, one can apply data-driven analytics, run simulations, and what-if analyses to determine the asset behavior in real or hypothetical situations or to decide on control and optimization actions. CONCRETE: DT Model Simulation and Big Data Analytics and Machine Learning","The first step is the creation of the DT model based on the actual measurements done on the energy assets. The energy asset model is constructed by using physics or engineering models, statistics, etc. Augmented reality models can be used for improving the human understanding of the energy assets' operational states",YES,   
Cioroaica2019,N/A,Smart Agent CPS ECU,"The DT
shows a projection of the behavior of the smart agent’s
control algorithm in all situations",DIGITAL_PHYSICAL,DIGITAL_TWIN,N/A,N/A,linked precitve simulation vs pure predicitve simulation,"The DT is an executable
description of the algorithm that can be controlled in
a simulated environment.",N/A,   
CristinaFrancodaSilva2021,N/A,Firmware ,"binaries, IP email hashed passwords",DIGITAL_EXPERT,DIGITAL_SHADOW,N/A,N/A,"Replication/ Transformation, Retracing Vulnerabilities to Requirements",Transformin Firmware to Digital Twin,YES,   
Damjanovicbehrendt2018ab,Cloud,"Cars, Stakeholders","vehivle model,. Ob board sensor data, steering wheel feedback tuningg data, data require for tyre, driver skills, perceptio etc.",DIGITAL_EXPERT (Driver),DIGITAL_TWIN,N/A,N/A,"security & privacy data analysis, safety and operational analysis, prediction & analytics based decisions for security, location based bevavioural analysis, tempral behavioural analsis of time series, behaviour and performance modelling ",N/A,N/A,   
Damjanovicbehrendt2018abc,N/A,"Car, Smart Car","In order to do so,
digital twins require a collection of data
describing the physical world, context,
events and situations to be “mirrored” in
the virtual space. The collected data
include expert knowledge, historical
data, inferred data, as well as data integrated
from other enterprise systems and
third-party systems.",DIGITAL_PHYSICAL,DIGITAL_TWIN,"Digital twins require a collection of
models, e.g. data computational models
(dynamic, behaviour models including
statistical packages for ML, analytics,
optimisation) and representational
models (static, structural models
including semantic data models,
NoSQL, relational data models, rule
engines). Data computational models
perform analytics and processing along
the entire product lifecycle phases, supporting
system models, functional
models, manufacturing computation",N/A,"Simulation, Analysis, replication, Decision Making, Semantic Data Interoperability, Model Maangement","Digital twins require a collection of
models, e.g. data computational models
(dynamic, behaviour models including
statistical packages for ML, analytics,
optimisation) and representational
models (static, structural models
including semantic data models,
NoSQL, relational data models, rule
engines)",YES,   
