Citation_Key,RQ4_Challenges_FR,   
Akbarian2020,N/A,   
Almeaibed2021,more security and privacy of car data,   
Anthony2020,N/A,   
Assenza2020,N/A,   
Atalay2020,"Our ongoing work includes the modeling and
implementation of the proposed security evaluation framework
for real-world smart grid infrastructures.",   
Ayodeji2020,N/A,   
Bajaj2020,"Automated vulnerability assessment and detection tools. Many tools currently
exist but are not tuned for manufacturing or the operational requirements of a
production setting.
• Analytics-based detection—networks or machines—and use of digital twins.
• Tools to audit the extent of attacks.
• Automated, robust part validation technology, including automated distributed
ledger technologies such as blockchain, for trusted parts and data validation.",   
Bayanifar2017,N/A,   
Becue2018,N/A,   
Becue2020,N/A,   
Biffl2019,N/A,   
Biffl2019a,N/A,   
Bitton2018,"In future work we plan to evaluate the method on more realistic environments
from a diverse range of industries and propose a heuristic algorithm for finding a near-optimal solution (digital twin setup) with sub-exponential time complexity.
In addition, we plan to extend the solution to support different pricing strategies
for the various implementations, such as software bundles with contribution
margin-based pricing. We also plan to (1) add new types of constraints, e.g.,
constraints that take the physical space available within the digital twin that
will be implemented (e.g., a small room or an open space) into account; (2)
consider implementations of multiple elements as virtual or simulations on the
same machine; and (3) handle identical setups in an industrial environment
(e.g., if two similar production lines are implemented, there is no need to test
both of them). Finally, a general knowledge base of possible tests and their test
dependencies should be researched and established.",   
Bore2020,N/A,   
